ImageId,pixels
1.0,5
2.0,0
3.0,4
4.0,1
5.0,9
6.0,2
7.0,1
8.0,3
9.0,1
10.0,4
11.0,3
12.0,5
13.0,3
14.0,6
15.0,1
16.0,7
17.0,2
18.0,8
19.0,6
20.0,9
21.0,4
22.0,0
23.0,9
24.0,1
25.0,2
26.0,2
27.0,4
28.0,3
29.0,2
30.0,7
31.0,3
32.0,8
33.0,6
34.0,9
35.0,0
36.0,5
37.0,6
38.0,0
39.0,7
40.0,6
41.0,1
42.0,8
43.0,7
44.0,9
45.0,3
46.0,9
47.0,8
48.0,5
49.0,9
50.0,3
51.0,3
52.0,0
53.0,7
54.0,4
55.0,9
56.0,8
57.0,0
58.0,9
59.0,4
60.0,1
61.0,4
62.0,4
63.0,6
64.0,0
65.0,4
66.0,5
67.0,6
68.0,1
69.0,0
70.0,0
71.0,1
72.0,7
73.0,1
74.0,6
75.0,3
76.0,0
77.0,2
78.0,1
79.0,1
80.0,7
81.0,9
82.0,0
83.0,2
84.0,6
85.0,7
86.0,8
87.0,3
88.0,9
89.0,0
90.0,4
91.0,6
92.0,7
93.0,4
94.0,6
95.0,8
96.0,0
97.0,7
98.0,8
99.0,3
100.0,1
101.0,5
102.0,7
103.0,1
104.0,7
105.0,1
106.0,1
107.0,6
108.0,3
109.0,0
110.0,2
111.0,9
112.0,3
113.0,1
114.0,1
115.0,0
116.0,4
117.0,9
118.0,2
119.0,0
120.0,0
121.0,2
122.0,0
123.0,2
124.0,7
125.0,1
126.0,8
127.0,6
128.0,4
129.0,1
130.0,6
131.0,3
132.0,4
133.0,5
134.0,9
135.0,1
136.0,3
137.0,3
138.0,8
139.0,5
140.0,4
141.0,7
142.0,7
143.0,4
144.0,2
145.0,8
146.0,5
147.0,8
148.0,6
149.0,4
150.0,3
151.0,4
152.0,6
153.0,1
154.0,9
155.0,9
156.0,6
157.0,0
158.0,3
159.0,7
160.0,2
161.0,8
162.0,2
163.0,9
164.0,4
165.0,4
166.0,6
167.0,4
168.0,9
169.0,7
170.0,0
171.0,9
172.0,2
173.0,9
174.0,5
175.0,1
176.0,5
177.0,9
178.0,1
179.0,2
180.0,3
181.0,2
182.0,3
183.0,5
184.0,9
185.0,1
186.0,7
187.0,6
188.0,2
189.0,8
190.0,2
191.0,2
192.0,5
193.0,0
194.0,7
195.0,4
196.0,9
197.0,7
198.0,8
199.0,3
200.0,2
201.0,1
202.0,1
203.0,8
204.0,3
205.0,6
206.0,1
207.0,0
208.0,3
209.0,1
210.0,0
211.0,0
212.0,1
213.0,7
214.0,2
215.0,7
216.0,3
217.0,0
218.0,4
219.0,6
220.0,5
221.0,2
222.0,6
223.0,4
224.0,7
225.0,1
226.0,8
227.0,9
228.0,9
229.0,3
230.0,0
231.0,7
232.0,1
233.0,0
234.0,2
235.0,0
236.0,3
237.0,5
238.0,4
239.0,6
240.0,5
241.0,8
242.0,6
243.0,3
244.0,7
245.0,5
246.0,8
247.0,0
248.0,9
249.0,1
250.0,0
251.0,3
252.0,1
253.0,2
254.0,2
255.0,3
256.0,3
257.0,6
258.0,4
259.0,7
260.0,5
261.0,0
262.0,6
263.0,2
264.0,7
265.0,9
266.0,8
267.0,5
268.0,9
269.0,2
270.0,1
271.0,1
272.0,4
273.0,4
274.0,5
275.0,6
276.0,4
277.0,1
278.0,2
279.0,5
280.0,3
281.0,9
282.0,3
283.0,9
284.0,0
285.0,5
286.0,9
287.0,6
288.0,5
289.0,7
290.0,4
291.0,1
292.0,3
293.0,4
294.0,0
295.0,4
296.0,8
297.0,0
298.0,4
299.0,3
300.0,6
301.0,8
302.0,7
303.0,6
304.0,0
305.0,9
306.0,7
307.0,5
308.0,7
309.0,2
310.0,1
311.0,1
312.0,6
313.0,8
314.0,9
315.0,4
316.0,1
317.0,5
318.0,2
319.0,2
320.0,9
321.0,0
322.0,3
323.0,9
324.0,6
325.0,7
326.0,2
327.0,0
328.0,3
329.0,5
330.0,4
331.0,3
332.0,6
333.0,5
334.0,8
335.0,9
336.0,5
337.0,4
338.0,7
339.0,4
340.0,2
341.0,7
342.0,3
343.0,4
344.0,8
345.0,9
346.0,1
347.0,9
348.0,2
349.0,8
350.0,7
351.0,9
352.0,1
353.0,8
354.0,7
355.0,4
356.0,1
357.0,3
358.0,1
359.0,1
360.0,0
361.0,2
362.0,3
363.0,9
364.0,4
365.0,9
366.0,2
367.0,1
368.0,6
369.0,8
370.0,4
371.0,7
372.0,7
373.0,4
374.0,4
375.0,9
376.0,2
377.0,5
378.0,7
379.0,2
380.0,4
381.0,4
382.0,2
383.0,1
384.0,9
385.0,7
386.0,2
387.0,8
388.0,7
389.0,6
390.0,9
391.0,2
392.0,2
393.0,3
394.0,8
395.0,1
396.0,6
397.0,5
398.0,1
399.0,1
400.0,0
401.0,2
402.0,6
403.0,4
404.0,5
405.0,8
406.0,3
407.0,1
408.0,5
409.0,1
410.0,9
411.0,2
412.0,7
413.0,4
414.0,4
415.0,4
416.0,8
417.0,1
418.0,5
419.0,5
420.0,9
421.0,5
422.0,6
423.0,7
424.0,9
425.0,9
426.0,3
427.0,7
428.0,0
429.0,9
430.0,0
431.0,6
432.0,6
433.0,2
434.0,3
435.0,9
436.0,0
437.0,7
438.0,5
439.0,4
440.0,8
441.0,0
442.0,9
443.0,4
444.0,1
445.0,2
446.0,8
447.0,7
448.0,1
449.0,2
450.0,6
451.0,1
452.0,0
453.0,3
454.0,0
455.0,1
456.0,1
457.0,8
458.0,2
459.0,0
460.0,3
461.0,9
462.0,4
463.0,0
464.0,5
465.0,0
466.0,6
467.0,1
468.0,7
469.0,7
470.0,8
471.0,1
472.0,9
473.0,2
474.0,0
475.0,5
476.0,1
477.0,2
478.0,2
479.0,7
480.0,3
481.0,5
482.0,4
483.0,9
484.0,7
485.0,1
486.0,8
487.0,3
488.0,9
489.0,6
490.0,0
491.0,3
492.0,1
493.0,1
494.0,2
495.0,6
496.0,3
497.0,5
498.0,7
499.0,6
500.0,8
501.0,3
502.0,9
503.0,5
504.0,8
505.0,5
506.0,7
507.0,6
508.0,1
509.0,1
510.0,3
511.0,1
512.0,7
513.0,5
514.0,5
515.0,5
516.0,2
517.0,5
518.0,8
519.0,7
520.0,0
521.0,9
522.0,7
523.0,7
524.0,5
525.0,0
526.0,9
527.0,0
528.0,0
529.0,8
530.0,9
531.0,2
532.0,4
533.0,8
534.0,1
535.0,6
536.0,1
537.0,6
538.0,5
539.0,1
540.0,8
541.0,3
542.0,4
543.0,0
544.0,5
545.0,5
546.0,8
547.0,3
548.0,6
549.0,2
550.0,3
551.0,9
552.0,2
553.0,1
554.0,1
555.0,5
556.0,2
557.0,1
558.0,3
559.0,2
560.0,8
561.0,7
562.0,3
563.0,7
564.0,2
565.0,4
566.0,6
567.0,9
568.0,7
569.0,2
570.0,4
571.0,2
572.0,8
573.0,1
574.0,1
575.0,3
576.0,8
577.0,9
578.0,0
579.0,6
580.0,5
581.0,9
582.0,3
583.0,0
584.0,9
585.0,2
586.0,4
587.0,7
588.0,1
589.0,2
590.0,9
591.0,4
592.0,2
593.0,6
594.0,1
595.0,8
596.0,9
597.0,0
598.0,6
599.0,6
600.0,7
601.0,9
602.0,9
603.0,8
604.0,0
605.0,1
606.0,4
607.0,4
608.0,6
609.0,7
610.0,1
611.0,5
612.0,7
613.0,0
614.0,3
615.0,5
616.0,8
617.0,4
618.0,7
619.0,1
620.0,2
621.0,5
622.0,9
623.0,5
624.0,6
625.0,7
626.0,5
627.0,9
628.0,8
629.0,8
630.0,3
631.0,6
632.0,9
633.0,7
634.0,0
635.0,7
636.0,5
637.0,7
638.0,1
639.0,1
640.0,0
641.0,7
642.0,9
643.0,2
644.0,3
645.0,7
646.0,3
647.0,2
648.0,4
649.0,1
650.0,6
651.0,2
652.0,7
653.0,5
654.0,5
655.0,7
656.0,4
657.0,0
658.0,2
659.0,6
660.0,3
661.0,6
662.0,4
663.0,0
664.0,4
665.0,2
666.0,6
667.0,0
668.0,0
669.0,0
670.0,0
671.0,3
672.0,1
673.0,6
674.0,2
675.0,2
